name
A. D. Hope
A. E. Housman
A. E. Stallings
A. R. Ammons
A. S. J. Tessimond
A. W. Yrjänä
Ab'ul Hasan Yamīn ud-Dīn Khusrow
Abby B. Hyde
Abd al-Wahhab Abu Zayd
Abdillahi Suldaan Mohammed Timacade
Abdulrahman Adel Al-Shammari
Abhay K
Leszek Engelking
Letitia Elizabeth Landon
Lewis Carroll
Lewis Warsh
Li Bai
Li Houzhu
Li Jiao
Li Qingzhao
Li Shangyin
Libby Houston
Lin Van Hek
Lin Yining
Linda Gregg
Linton Kwesi Johnson
Lionel Johnson
Lisa Gluskin Stonestreet
Literary awards
Ljubivoje Ršumović
Lola Ridge
Lope de Vega
Lord de Tabley
Lorenzo Thomas
Lorin Morgan-Richards
Lorine Niedecker
Lorna Goodison
Lost literary work
Louis Aragon
Louis MacNeice
Louis Simpson
Louis Untermeyer
Louis Zukofsky
Louis-Honoré Fréchette
Louisa Lawson
Louise Bennett-Coverley
Louise Bogan
Louise Erdrich
Louise Glück
Lu You
Luci Shaw
Lucia Perillo
Lucian Blaga
Lucilius Junior
Lucille Clifton
Lucius Afranius
Lucjan Rydel
Lucretia Maria Davidson
Lucy Terry
Ludovico Ariosto
Ludwig Achim von Arnim
Ludwig Tieck
Ludwig Zeller
Luigi Alamanni
Luigi Pulci
Luis Cernuda
Luis de Góngora
Luke Booker
Lukijan Mušicki
Luo Binwang
Luís de Camões
Lydia Cabrera
Lyn Hejinian
Lynda Hull
László Jávor
László Kálnoky
László Ladányi
László Listi
László Nagy
Léonie Adams
Léopold Sédar Senghor
Lőrinc Szabó
M. K. Asante
Maciej Kazimierz Sarbiewski
Madayyagari Mallana
Madeline DeFrees
Madge Morris Wagner
Maffeo Vegio
Maggie Estep
Mahadevi Varma
Mahmoud Darwish
Maja Apostoloska
Majeed Amjad
Malcolm Cowley
Malcolm Guite
Malliya Rechana
Mao Zedong
Maoilios Caimbeul
Maraea Rakuraku
Marcin Baran
Marcin Malek
Marcin Świetlicki
Marcus Manilius
Margaret Atwood
Margaret Avison
"Margaret Cavendish, Duchess of Newcastle-upon-Tyne"
Margaret Holford
Margaret Smith
Margaret Steuart Pollard
Margaret Walker
Margiad Evans
Margit Kaffka
Margo Taft Stever
Marguerite Young
Mari Evans
Maria Barrell
Maria Ilnicka
Maria Konopnicka
Maria Luise Thurmair
Maria Pawlikowska-Jasnorzewska
Maria White Lowell
Marian Hemar
Marian Hluszkewycz
Marianne Moore
Marie Ponsot
Marie de France
Marie-Ange Somdah
Mariela Griffor
Marijane Minaberri
Marilyn Hacker
Marilyn Krysl
Marilyn Nelson
Marilyn Singer
Marina Tsvetaeva
Marine Petrossian
Marinko Stevanović
Mario Luzi
Mario Petrucci
Marion Angus
Mariska Ady
Marjorie Fleming
Marjory Heath Wentworth
Mark Akenside
Mark Alexander Boyd
Mark Doty
Mark F. Jarman
Mark Granier
Mark Strand
Markus Hediger
Martin Rakovský
Martin Walser
Martín Espada
Marvin Bell
Mary Barnard
Mary Elizabeth Coleridge
"Mary Herbert, Countess of Pembroke"
Mary Karr
Mary Oliver
Mary Robinson
Mary Stebbins Savage
Mary Ursula Bethell
Mary Whateley
Marya Zaturenska
Maryam Jafari Azarmani
Maryla Wolska
María Magdalena Domínguez
Masaoka Shiki
Masud Sa'd Salman
Mathilde Blind
Matija Bećković
Matilde Camus
Matsuo Bashō
Matteo Maria Boiardo
Matthew Arnold
Matthew Cooperman
Matthew Dickman
Matthew Hollis
Matthew Minicucci
Matthew Prior
Matthew Rohrer
Matthew Zapruder
Matthias Claudius
Mattie Stepanek
Maurice Manning
Maurice Scève
Max Ehrmann
Max Ernst
Maxim Tank
Maxine Kumin
May Swenson
May Wedderburn Cannan
Maya Angelou
Meary James Thurairajah Tambimuttu
Mehdi Akhavan-Sales
Mei Yaochen
Mellin de Saint-Gelais
Melville Henry Cane
Melvin B. Tolson
Meng Haoran
Merrill Moore
Meta Vaux Warrick Fuller
Micere Githae Mugo
Michael Basinski
Michael Dickman
Michael Drayton
Michael Ende
Michael Feeney Callan
Michael Hamburger
Michael Hartnett
Michael Hofmann
Michael Longley
Michael Madhusudan Dutt
Michael McClure
Michael Palmer
Michael Roberts
Michael Rosen
Michal Šanda
Michaël Slory
Michelle Boisseau
Michelle Cliff
Mieczysław Jastrun
Miguel Hernández
Miguel de Unamuno
Mihai Eminescu
Mihailo Vitković
Mihály Babits
Mihály Barla
Mihály Csokonai Vitéz
Mihály Tompa
Mika Antić
Mikhail Lermontov
Miklós Zrínyi
Mikołaj Rej
Mikołaj Sęp Szarzyński
Milan Rakić
Milica Stojadinović-Srpkinja
Miller Williams
Millosh Gjergj Nikolla
Milton Acorn
Milán Füst
Mimi Khalvati
Mina Assadi
Mina Dastgheib
Mina Loy
Mir Anees
Mir Taqi Mir
Mira Kuś
Miranda Kennedy
Mirko Petrović-Njegoš
Miron Białoszewski
Miroslav Krleža
Mirza Asadulla Khan Ghalib
Mitsuye Yamada
Moeen Nizami
Mohammad Nurul Huda
Mohammad-Hossein Shahriar
Mohammad-Taqi Bahar
Mohammed Abdullah Hassan
Molla Babor Eshqi
Momoko Kuroda
Momčilo Nastasijević
Mona Van Duyn
Moniza Alvi
Morton Marcus
Muhammad Quli Qutb Shah
Muhammad Taha Al-Qaddal
Muhammad Tahir ul-Qadri
Muhannad Al-Shawi
Muriel Rukeyser
Musa Cälil
Mustafa Sheykhoghlu
Mário Cesariny de Vasconcelos
Mário de Andrade
N. F. S. Grundtvig
Naim Frashëri
Nandi Thimmana
Naomi Shihab Nye
Narcyza Żmichowska
Narsinh Mehta
Nasir Khusraw
Natan Alterman
Natasha Trethewey
Natsume Sōseki
Ndre Mjeda
Neal Cassady
Necati Cumalı
Necip Fazıl Kısakürek
Nelly Sachs
Nevin Birsa
New Zealander
Neyzen Tevfik
Nguyễn Du
Nicanor Parra
Nichita Stănescu
Nicholas Breton
Nicholas Campbell
Nicholas Freeston
Nicholas Grimald
Nicholas I of Montenegro
Nicholas Rowe
Nick Cave
Nick Toczek
Nicolas Boileau-Despréaux
Nicole Brossard
Nicolás Guillén
Nidia Barboza
Nikanor Grujić
Nikki Giovanni
Nikola Musulin
Nikola Vaptsarov
Nikolay Gumilyov
Nikos Kavvadias
Nima Yooshij
Nipsey Russell
Nishiyama Sōin
Niyi Osundare
Nizami Aruzi
Nizar Qabbani
Noon Meem Rashid
Norman Cameron
Norman Dubie
Norman MacCaig
Norman Nicholson
Nozawa Bonchō
Ntozake Shange
Nâzım Hikmet
Octave Crémazie
Octavian Goga
Octavio Paz
Odysseus Elytis
Ogden Nash
Olav H. Hauge
Olga Broumas
Olga Nolla
Oliver Goldsmith
Oliver Wendell Holmes
Omar Khayyám
Onat Kutlar
Oodgeroo Noonuccal
Orhan Veli Kanik
Osbern Bokenam
Oscar Wilde
Oscar Williams
Osip Mandelstam
Oswald LeWinter
Otep Shamaya
Ouyang Xiu
Paata Shamugia
Pablo Neruda
Padraic Fallon
Pam Ayres
Park Yong-rae
Parveen Shakir
Pascale Petit
Patience Agbabi
Patricia Beer
Patricia Fargnoli
Patricia Goedicke
Patricia Janus
Patrick Kavanagh
Patrick Pearse
Patti Smith
Paul Auster
Paul Blackburn
Paul Celan
Paul Claudel
Paul Conneally
Paul Dirmeikis
Paul Engle
Paul Gerhardt
Paul Goodman
Paul Guest
Paul Hartal
"Paul I, Prince Esterházy"
Paul Laurence Dunbar
Paul Mariani
Paul Muldoon
Paul Scott Mowrer
Paul Valéry
Paul Verlaine
Paul Vermeersch
Paul Éluard
Paul-Eerik Rummo
Pavel Golia
Paweł Kubisz
Pawlu Aquilina
Pedro Calderón de la Barca
Pedro Juan Gutiérrez
Pencho Slaveykov
Penelope Rosemont
Pennsylvania Dutch
Percy Bysshe Shelley
Petar II Petrović-Njegoš
Petar Kočić
Petar Preradović
Pete Doherty
Peter Andrej
Peter Davison
Peter Härtling
Peter Lamborn Wilson
Peter Lampe
Peter Meinke
Peter Orlovsky
Peter Porter
Peter Reading
Peter Redgrove
Peter Robinson
Peter Rosegger
Peter Seaton
Peter Viereck
Peter Wild
Petko Slaveykov
Petrus Brovka
Petter Dass
Peyo Yavorov
Philip Appleman
Philip Gross
Philip Lamantia
Philip Larkin
Philip Levine
Philip Nanton
Philip O'Connor
Philip Schultz
Philip Sidney
Philip Stanhope Worsley
Philip Whalen
Phillippa Yaa de Villiers
Phillis Wheatley
Phineas Fletcher
Phoebe Hesketh
Pi Rixiu
Pier Giorgio Di Cicco
Pierre Labrie
Pierre Reverdy
Pierre de Ronsard
Pingali Surana
Piotr Zbylitowski
Pontus de Tyard
Porfirio Barba-Jacob
Porsha Olayiwola
Péter Kuczka
Qatran Tabrizi
Qu Yuan
Quincy Troupe
R. S. Thomas
Rabia Balkhi
Rabindranath Tagore
Rachel Akerman
Rachel Eliza Griffiths
Rachel Quick Buttz
Radoslav Rochallyi
Radovan Brenkus
Radovan Zogović
Rae Armantrout
Raees Warsi
Raegan Butcher
Rafał Wojaczek
Rafey Habib
Rainer Maria Rilke
Raipiyel Tennakoon
Ralph Angel
Ralph Chubb
Ralph Waldo Emerson
Ram Prasad Bismil
Ramdhari Singh Dinkar
Randall Jarrell
Rann Kennedy
Raushan Yazdani
Ravji Patel
Ray Buttigieg
Raymond Antrobus
Raymond Garlick
Raymond Roussel
Rebecca Hammond Lard
Rebecca Seiferle
Rebecca Wee
Reed Whittemore
Reetika Vazirani
Regina Derieva
Reginald Gibbons
Remco Campert
Remy de Gourmont
René Char
René Daumal
Renée Ashley
Reverend Fr. Fray Angelico Chavez
Riaz Ahmed Gohar Shahi
Richard Aldington
Richard Armour
Richard Barnfield
Richard Berengarten
Richard Brautigan
Richard Crashaw
Richard Duke
Richard Eberhart
Richard Garnett
Richard Graves
Richard Howard
Richard Hugo
Richard Jago
Richard Jones
Richard Lovelace
Richard Murphy
Richard Palmer Blackmur
Richard Price
Richard Savage
Richard Wilbur
Rika Lesser
Rita Dove
Robbie Coburn
Robert Aytoun
Robert Bloomfield
Robert Bly
Robert Bridges
Robert Bringhurst
Robert Browning
Robert Burns
Robert Calvert
Robert Carliell
Robert Conquest
Robert Copland
Robert Creeley
Robert Duncan
Robert Fergusson
Robert Fitzgerald
Robert Francis
Robert Frost
Robert Garioch
Robert Graves
Robert Greene
Robert Hass
Robert Hayden
Robert Henryson
Robert Herrick
Robert Lax
Robert Louis Stevenson
Robert Lowell
Robert Mannyng
Robert Minhinnick
Robert Nye
Robert Penn Warren
Robert Peters
Robert Pinsky
Robert Priest
Robert Rendall
Robert Siegel
Robert Southey
Robert Southwell
Robert Stephen Hawker
Robert Sullivan
Robert Sward
Robert W. Service
Robert Walser
Robert Whitehall
Robert Williams Buchanan
Robert Zend
Robinson Jeffers
Rod Jellema
Rod McKuen
Roemer Visscher
Roger McGough
Rognvald Kali Kolsson
Roland Michel Tremblay
Roland Robinson
Rolf Jacobsen
Roma Potiki
Ron Allen
Ron Androla
Ron Offen
Ron Padgett
Ron Silliman
Roque Dalton
Rosalía de Castro
Rosmarie Waldrop
Rossy Evelin Lima
Roy Blumenthal
Roy Campbell
Roy Fisher
Roy Fuller
Royston Ellis
Rozalie Hirs
Ruby Dhal
Rubén Darío
Rudolf Maister
Rudyard Kipling
Rufus W. Griswold
Rumer Godden
Rupert Brooke
Rupi Kaur
Russell Banks
Russell Edson
Ruth Krauss
Ruth Manning-Sanders
Ruth Padel
Ruth Pitter
Ruth Stone
Ryan Adams
Ryan Giggs
Ryszard Krynicki
Saba Kidane
Sabit Ince
Saib Tabrizi
Saishu Onoe
Salman Akhtar
Salvador Espriu
Salvatore Quasimodo
Sam Abrams
Sam Hunt
Sam Pereira
Sam Ragan
Samina Raja
Samuel Beckett
Samuel Daniel
Samuel Garth
Samuel Johnson
Samuel Rogers
Samuel Rowlands
Samuel Taylor Coleridge
Samuel Wagan Watson
Sandford Lyne
Sanu Sharma
Sapardi Djoko Damono
Sapargali Begalin
Sara Teasdale
Sarah Doudney
Sarah Klassen
Sarah Lindsay
Sarah Messer
Sasha Dugdale
Sasha Skenderija
Satsvarupa Das Goswami
Saul Williams
Saunders Lewis
Savitribai Phule
Sayyid Ahmedullah Qadri
Saʿdī Shīrāzī
Scott Cairns
Scott Hightower
Seamus Heaney
Sean O'Brien
Sebestyén Tinódi Lantos
Selima Hill
Semonides of Amorgos
Sergei Gorodetsky
Sergei Yesenin
Sergey Izgiyaev
Seth Abramson
Sextus Propertius
Shamsur Rahman
Sharon Olds
Sheila Murphy
Shel Silverstein
Shelby Stephenson
Sherley Anne Williams
Sherman Alexie
Sherwin Bitsui
Shirley Kaufman
Sholeh Wolpe
Short story
Short story collection
Siavash Kasrai
Sidney Keyes
Sidney Wade
Siegfried Sassoon
Silas Weir Mitchell
Sima Milutinović Sarajlija
Sima Pandurović
Simeon Simev
Simon Armitage
Simon Bacher
Simon Jenko
Simonides of Ceos
Simpson Charles Younger
Simón Darío Ramírez
Sir Alexander Gray
"Sir Charles Sedley, 5th Baronet"
Sir David Lyndsay of the Mount
Sir Dr. Muhammad Iqbal
Sir Edmund William Gosse
Sir Edward Dyer
Sir Francis Kynaston
Sir John Davies
Sir John Denham
Sir John Suckling
Sir Theodore Wilson Harris
Sir Walter Raleigh
Siôn Abel
Solomon Löwisohn
Sonia Sanchez
Sophia de Mello Breyner Andresen
Sor Juana Inés de la Cruz
Sorley MacLean
South African
Souéloum Diagho
Spike Milligan
Stan Rice
Stanisław Baliński
Stanisław Barańczak
Stanisław Grochowiak
Stanisław Herakliusz Lubomirski
Stanisław Ignacy Witkiewicz
Stanisław Jerzy Lec
Stanisław Korab-Brzozowski
Stanisław Młodożeniec
Stanisław Wyspiański
Stanko Vraz
Stanley Burnshaw
Stanley Kunitz
Stefan George
Stefan Stefanović
Stefan Witwicki
Stephane Mallarme
Stephen Crane
Stephen Dobyns
Stephen Dunn
Stephen Hawes
Stephen Kuusisto
Stephen Mitchell
Stephen Ratcliffe
Stephen Spender
Stephen Vincent Benét
Sterling Brown
Steven P. Schneider
Stevie Smith
Stewart Conn
Stuart Dybek
Stuart Merrill
Su Shi
Su Xiaoxiao
Subagio Sastrowardoyo
Subhadra Kumari Chauhan
Subramanya Bharathi
Sue Lenier
Sujata Bhatt
Suleiman the Magnificent
Suman Pokhrel
Sumitranandan Pant
Suryakant Tripathi
Susan Griffin
Susan Howe
Susan McCaslin
Susan Musgrave
Susan Rosenbloom
Susana Chávez
Susanna Roxman
Susanne Antonetta
Sutardji Calzoum Bachri
Sydney Goodsir Smith
Sydor Rey
Syl Cheney-Coker
Sylvia Plath
Sylvia Townsend Warner
Szymon Szymonowic
Sándor Barta
Sándor Csoóri
Sándor Kányádi
Sándor Márai
Sándor Tóth
Sándor Weöres
Søren Kierkegaard
T. S. Eliot
Tadeusz Borowski
Tadeusz Boy-Żeleński
Tadeusz Gajcy
Tadeusz Miciński
Tadeusz Różewicz
Taha Muhammad Ali
Taja Kramberger
Takarai Kikaku
Talib Khundmiri
Tamás Aczél
Taneda Santōka
Tao Qian
Tapan Kumar Pradhan
Taras Shevchenko
Ted Berrigan
Ted Hughes
Ted Kooser
Temsüla Ao
Tenali Rama
Tendai M. Shaba
Teodor Bujnicki
Terry Ehret
Terry Locke
Teréz Ferenczy
Theodor Fontane
Theodor Seuss Geisel
Theodor Storm
Theodore Roethke
Theodore Watts-Dunton
Thom Gunn
"Thomas Babington Macaulay, 1st Baron Macaulay"
Thomas Campbell
Thomas Campion
Thomas Carew
Thomas Centolella
Thomas Chatterton
Thomas Dekker
Thomas Edward Brown
Thomas Ernest Hulme
Thomas Gray
Thomas Hansen Kingo
Thomas Hardy
Thomas Heywood
Thomas Hoccleve
Thomas Hood
Thomas Kibble Hervey
Thomas Kinsella
Thomas Lodge
Thomas Love Peacock
Thomas Lovell Beddoes
Thomas Lux
Thomas M. Disch
Thomas Malory
Thomas McGrath
Thomas Merton
Thomas Middleton
Thomas Miller
Thomas Moore
Thomas Nashe
Thomas Parnell
Thomas Randolph
"Thomas Sackville, 1st Earl of Dorset"
Thomas Shadwell
Thomas Tickell
Thomas Traherne
Thomas Tusser
"Thomas Vaux, 2nd Baron Vaux of Harrowden"
Thomas Warton
Thomas Watson
Thomas Wyatt
Thomas d'Angleterre
Théophile Gautier
Tim Dlugos
Tim Liardet
Tim Lilburn
Tishani Doshi
Tobias Smollett
Todd Bash
Togara Muzanenhamo
Toi Derricotte
Tom Lowenstein
Tom Pickard
Tom Raworth
Tom Scott
Tom Wayman
Tony Harrison
Tony Haynes
Tonya Ingram
Torquato Tasso
Toru Dutt
Tory Dent
Tracey Tawhiao
Traci Brimhall
Tracy K. Smith
Tristan Corbière
Tristan Tzara
Trumbull Stickney
Tudor Arghezi
Tudur Aled
Tuli Kupferberg
Tupac Shakur
Turan Bahrami Shahriari
Tymon Zaborowski
Tytus Czyżewski
Tõnu Trubetsky
U. A. Fanthorpe
Ugo Foscolo
Ulrika Widström
Umberto Saba
Urszula Kozioł
Uthman Mukhtari
Uuno Kailas
Vachel Lindsay
Vahan Terian
Vahni Capildeo
Vahshi Bafqi
Valeri Bryusov
Valerie Macon
Valzhyna Mort
Vasile Alecsandri
Vasko Popa
Vassar Miller
Veljko Petrović
Vernon Watkins
Veronica Forrest-Thomson
Veronica Franco
Veronica Micle
Verse novel
Vicente Aleixandre
Vicente Huidobro
Victor Henry Anderson
Victor Hugo
Viggo Madsen
Viggo Mortensen
Vikram Seth
Vim Karenine
Vincent Buckley
Vincent Voiture
Violet Jacob
Virginia Hamilton Adair
Vishnu Raj Atreya
Vita Sackville-West
Vladimir Mayakovsky
Vladimir Nabokov
Vladislav Khodasevich
Vladislav Petković Dis
Vojin Jelić
Vojislav Ilić
Vyt Bakaitis
W R Rodgers
W S Graham
W. B. Yeats
W. E. B. Du Bois
W. E. Butts
W. H. Auden
W. H. Davies
W. S. Gilbert
W. S. Merwin
Wacław Iwaniuk
Wacław Michał Zaleski
Wacław Potocki
Waddie Mitchell
Waldo Williams
Walela Nehanda
Wallace Stevens
Walt McDonald
Walt Whitman
Walter Conrad Arensberg
Walter Kennedy
Walter Savage Landor
Walter Scott
Walter de la Mare
Walther von der Vogelweide
Wan Shenzi
Wanda Coleman
Wang Wei
Washington Allston
Wei Yingwu
Weldon Kees
Wen Yiduo
Wendell Berry
Wendy Cope
Wendy McGrath
Wilfred Owen
Wilfrid Scawen Blunt
Wilfrid Wilson Gibson
William Allingham
William Barnes
William Blake
William Bronk
William Browne
William Carlos Williams
William Cartwright
William Collins
William Congreve
William Cowper
William Cullen Bryant
William Davenant
William De Witt Snodgrass
William Drummond
William Dunbar
William Empson
William Ernest Henley
William Everson
William Fowler
William Hayley
William Henry Drummond
William Heyen
"William IX, Duke of Aquitaine"
William Jay Smith
William King
William Langland
William Levy
William Morris
William Morris Meredith Jr.
William Plomer
William Rose Benét
William S. Burroughs
William S. Tribell
William Saroyan
William Saunders
William Shakespeare
William Shenstone
William Somervile
William Soutar
William Stafford
William Tennant
William Topaz McGonagall
William Williams Pantycelyn
William Wordsworth
Willis Barnstone
Wincenty Pol
Winthrop Mackworth Praed
Wioletta Grzegorzewska
Wisława Szymborska
Witter Bynner
Wladyslaw Broniewski
Wole Soyinka
Wolfram von Eschenbach
Wyndham Lewis
Władysław Orkan
Władysław Sebyła
Władysław Syrokomla
Włodzimierz Szymanowicz
X. J. Kennedy
Xavier Villaurrutia
Xin Qiji
Xu Pei
Xu Zhimo
Xuan Bello
Yamilka Noa
Yanka Kupala
Yehonatan Geffen
Yehuda Amichai
Yevgeny Yevtushenko
Yi Suhyŏng
Yosa Buson
Yuan Mei
Yunus Emre
Yusef Komunyakaa
Yvor Winters
Zaharije Orfelin
Zbigniew Bieńkowski
Zbigniew Herbert
Zbigniew Morsztyn
Zenon Przesmycki
Zinaida Gippius
Ziya Gökalp
Zlatko Krasni
Zoraida Díaz
Zsuzsa Rakovszky
Zsófia Balla
Zuhayr ibn Abī Sūlmā
Zuzanna Ginczanka
Zygmunt Krasiński
Zygmunt Rumel
closet drama
fairy tale
folk play
poetry groups
science fiction
spoken word
Ádám Bodor
Ágnes Gergely
Ágnes Lehóczky
Ágnes Nemes Nagy
Ágnes Rapai
Álvaro Torres-Calderón
Ámbar Past
Émile Nelligan
Évariste de Parny
Úrsula Céspedes
Đorđe Marković Koder
Đura Jakšić
Ğabdulla Tuqay
İlhan Berk
İsmet Özel
Źmitrok Biadula
Žofia Kubini
